video_id,concept_id
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
2,11
2,12
2,13
2,14
2,15
2,16
2,6
2,17
2,18
2,9
3,19
3,11
3,20
3,21
3,12
3,22
3,17
3,9
3,23
3,24
4,25
4,26
4,27
4,13
4,28
4,29
4,30
4,9
4,31
4,32
5,33
5,34
5,35
5,9
5,36
5,37
5,38
5,39
5,24
5,40
6,41
6,42
6,16
6,22
6,43
6,44
6,17
6,9
6,45
6,32
7,13
7,46
7,47
7,4
7,48
7,49
7,6
7,7
7,9
7,50
8,12
8,41
8,13
8,2
8,51
8,52
8,53
8,9
8,54
8,55
9,56
9,2
9,34
9,35
9,57
9,5
9,58
9,9
9,36
9,23
10,59
10,41
10,60
10,61
10,9
10,62
10,32
10,23
10,63
10,64
11,12
11,41
11,13
11,65
11,66
11,67
11,68
11,69
11,9
11,70
12,71
12,13
12,72
12,73
12,74
12,75
12,51
12,9
12,76
12,32
13,71
13,77
13,13
13,28
13,78
13,75
13,6
13,9
13,76
13,32
14,2
14,47
14,79
14,6
14,8
14,80
14,9
14,10
14,54
14,81
15,82
15,83
15,16
15,84
15,85
15,86
15,87
15,88
15,89
15,9
16,90
16,91
16,13
16,92
16,5
16,68
16,6
16,9
16,32
16,93
17,20
17,12
17,14
17,94
17,15
17,16
17,9
17,76
17,70
17,95
18,33
18,12
18,13
18,96
18,97
18,98
18,48
18,99
18,9
18,70
19,91
19,41
19,100
19,101
19,75
19,102
19,9
19,32
19,63
19,64
20,59
20,12
20,46
20,103
20,104
20,105
20,9
20,76
20,106
20,107
21,108
21,109
21,110
21,12
21,111
21,51
21,112
21,6
21,9
21,55
22,12
22,41
22,15
22,48
22,113
22,114
22,115
22,23
22,38
22,116
23,117
23,118
23,119
23,92
23,120
23,22
23,6
23,121
23,9
23,63
24,122
24,12
24,13
24,46
24,22
24,74
24,51
24,9
24,70
24,123
25,124
25,12
25,2
25,96
25,125
25,51
25,6
25,114
25,23
25,126
26,1
26,91
26,2
26,127
26,22
26,3
26,128
26,129
26,8
26,9
27,11
27,28
27,130
27,131
27,48
27,9
27,31
27,32
27,63
27,132
28,13
28,133
28,46
28,78
28,16
28,17
28,9
28,70
28,107
28,134
29,2
29,135
29,3
29,5
29,6
29,8
29,9
29,10
29,136
29,137
30,16
30,22
30,138
30,139
30,75
30,51
30,9
30,62
30,32
30,23
31,90
31,91
31,2
31,135
31,22
31,140
31,5
31,9
31,141
31,10
32,1
32,142
32,143
32,135
32,22
32,79
32,144
32,6
32,9
32,32
33,145
33,12
33,13
33,96
33,68
33,87
33,114
33,45
33,146
33,147
34,90
34,148
34,13
34,149
34,104
34,105
34,6
34,9
34,107
34,150
35,151
35,152
35,101
35,128
35,153
35,9
35,62
35,32
35,63
35,54
36,154
36,155
36,156
36,157
36,9
36,62
36,32
36,63
37,158
37,159
37,154
37,29
37,155
37,156
37,160
37,51
37,114
37,63
38,161
38,15
38,22
38,162
38,75
38,163
38,164
38,9
38,62
38,23
39,90
39,165
39,27
39,13
39,16
39,166
39,167
39,9
39,63
39,107
40,168
40,169
40,22
40,51
40,170
40,171
40,62
40,115
40,93
40,38
41,41
41,172
41,173
41,174
41,51
41,175
41,6
41,9
41,115
41,176
42,177
42,158
42,178
42,22
42,51
42,163
42,18
42,102
42,9
42,107
43,179
43,180
43,22
43,51
43,181
43,114
43,164
43,37
43,93
43,39
44,56
44,13
44,46
44,92
44,182
44,22
44,128
44,183
44,9
44,70
45,184
45,56
45,185
45,12
45,13
45,104
45,186
45,9
45,23
45,107
46,13
46,187
46,30
46,188
46,189
46,167
46,190
46,9
46,63
46,107
47,191
47,12
47,13
47,139
47,48
47,192
47,51
47,9
47,70
47,193
48,56
48,34
48,16
48,35
48,194
48,17
48,53
48,9
48,54
48,24
49,13
49,28
49,195
49,196
49,197
49,198
49,58
49,9
49,31
49,23
50,71
50,185
50,199
50,148
50,118
50,104
50,200
50,9
50,76
50,107
51,201
51,202
51,203
51,125
51,72
51,74
51,51
51,164
51,9
51,32
52,41
52,13
52,42
52,204
52,74
52,9
52,205
52,32
52,115
52,23
53,206
53,187
53,207
53,104
53,35
53,208
53,88
53,209
53,9
53,39
54,191
54,27
54,173
54,74
54,4
54,6
54,210
54,211
54,9
54,55
55,13
55,34
55,125
55,35
55,22
55,75
55,164
55,62
55,32
55,23
56,161
56,168
56,100
56,101
56,22
56,51
56,170
56,9
56,23
56,38
57,212
57,11
57,13
57,130
57,22
57,79
57,48
57,6
57,9
57,132
58,191
58,213
58,46
58,22
58,74
58,51
58,9
58,31
58,23
58,214
59,143
59,108
59,202
59,22
59,139
59,53
59,9
59,31
59,32
59,132
60,11
60,202
60,215
60,216
60,217
60,48
60,75
60,9
60,218
60,132
61,28
61,130
61,215
61,219
61,220
61,9
61,31
61,32
61,63
61,132
62,221
62,199
62,148
62,118
62,104
62,140
62,105
62,181
62,9
62,107
63,108
63,222
63,74
63,51
63,6
63,9
63,36
63,63
63,64
63,55
64,25
64,27
64,28
64,223
64,22
64,139
64,9
64,32
64,63
64,224
65,11
65,13
65,28
65,225
65,46
65,226
65,48
65,49
65,167
65,9
66,165
66,25
66,227
66,201
66,130
66,204
66,228
66,9
66,62
66,63
67,11
67,13
67,103
67,229
67,68
67,6
67,18
67,9
67,23
67,132
68,90
68,25
68,108
68,201
68,130
68,72
68,48
68,9
68,63
68,230
69,231
69,232
69,233
69,234
69,235
69,236
69,237
69,238
69,239
69,240
70,28
70,187
70,241
70,242
70,243
70,244
70,208
70,17
70,245
70,246
71,247
71,248
71,249
71,250
71,251
71,252
71,253
71,254
71,255
71,256
72,257
72,12
72,258
72,259
72,104
72,244
72,250
72,260
72,261
72,262
73,263
73,185
73,152
73,264
73,265
73,259
73,104
73,266
73,267
73,252
74,104
74,268
74,250
74,267
74,252
74,233
74,269
74,262
74,270
74,271
75,104
75,272
75,266
75,273
75,267
75,252
75,274
75,275
75,276
75,277
76,278
76,258
76,100
76,279
76,104
76,280
76,250
76,281
76,269
76,262
77,282
77,283
77,104
77,284
77,266
77,285
77,267
77,252
77,286
77,276
78,13
78,287
78,104
78,144
78,288
78,250
78,252
78,289
78,276
78,269
79,154
79,290
79,291
79,104
79,156
79,250
79,292
79,293
79,261
79,269
80,122
80,12
80,258
80,104
80,144
80,105
80,244
80,250
80,261
80,294
81,295
81,258
81,296
81,215
81,297
81,104
81,284
81,250
81,252
81,276
82,298
82,278
82,299
82,216
82,300
82,301
82,302
82,303
82,304
82,305
83,11
83,185
83,306
83,28
83,225
83,307
83,173
83,308
83,251
83,309
84,310
84,311
84,312
84,250
84,313
84,252
84,314
84,233
84,262
84,315
85,91
85,61
85,79
85,316
85,266
85,250
85,317
85,166
85,87
85,318
86,56
86,319
86,91
86,278
86,128
86,268
86,250
86,320
86,87
86,262
87,77
87,258
87,321
87,175
87,250
87,322
87,53
87,323
87,324
87,325
88,258
88,104
88,326
88,250
88,267
88,252
88,274
88,323
88,327
88,262
89,91
89,258
89,100
89,280
89,328
89,329
89,250
89,308
89,53
89,262
90,258
90,250
90,252
90,323
90,262
90,330
90,324
90,325
90,331
90,332
91,278
91,258
91,333
91,329
91,323
91,253
91,261
91,262
91,324
91,334
92,335
92,151
92,169
92,216
92,128
92,266
92,18
92,336
92,337
92,305
93,298
93,338
93,91
93,258
93,249
93,339
93,340
93,128
93,252
93,293
94,278
94,341
94,258
94,280
94,250
94,87
94,261
94,262
94,342
94,343
95,344
95,185
95,28
95,345
95,228
95,128
95,326
95,9
95,261
95,346
96,258
96,347
96,104
96,348
96,326
96,250
96,349
96,261
96,269
96,350
97,351
97,261
97,233
97,269
97,352
97,353
97,354
97,355
97,356
97,357
98,358
98,258
98,359
98,360
98,361
98,268
98,250
98,362
98,363
98,352
99,12
99,258
99,364
99,250
99,365
99,252
99,366
99,323
99,367
99,368
100,12
100,258
100,369
100,104
100,266
100,250
100,365
100,252
100,274
100,323
101,185
101,278
101,180
101,104
101,268
101,328
101,329
101,308
101,349
101,370
102,91
102,12
102,258
102,268
102,364
102,250
102,308
102,53
102,371
102,294
103,104
103,372
103,51
103,329
103,364
103,250
103,308
103,349
103,269
103,271
104,373
104,374
104,104
104,272
104,266
104,250
104,252
104,274
104,275
104,277
105,375
105,187
105,243
105,376
105,377
105,378
105,379
105,380
105,381
105,382
106,383
106,384
106,345
106,268
106,385
106,69
106,308
106,386
106,303
106,387
107,91
107,258
107,388
107,22
107,250
107,389
107,308
107,314
107,261
107,390
108,278
108,258
108,268
108,250
108,389
108,251
108,391
108,323
108,261
108,392
109,335
109,185
109,393
109,250
109,317
109,389
109,308
109,87
109,309
109,394
110,335
110,91
110,258
110,22
110,72
110,389
110,308
110,53
110,371
110,309
111,395
111,151
111,119
111,374
111,180
111,268
111,364
111,250
111,314
111,271
112,396
112,374
112,388
112,397
112,79
112,250
112,53
112,293
112,349
112,269
113,398
113,91
113,258
113,83
113,228
113,4
113,268
113,308
113,303
113,371
114,151
114,399
114,278
114,400
114,280
114,198
114,250
114,53
114,401
114,349
115,335
115,258
115,228
115,266
115,250
115,308
115,53
115,262
115,371
115,394
116,46
116,402
116,374
116,265
116,280
116,79
116,403
116,293
116,404
116,269
117,405
117,258
117,104
117,328
117,406
117,308
117,322
117,87
117,407
117,294
118,151
118,91
118,83
118,345
118,180
118,268
118,329
118,308
118,408
118,409
119,258
119,104
119,328
119,329
119,308
119,53
119,366
119,289
119,253
119,410
120,83
120,411
120,268
120,389
120,308
120,87
120,53
120,123
120,412
120,294
121,263
121,405
121,258
121,104
121,348
121,268
121,308
121,413
121,414
121,415
122,148
122,258
122,104
122,328
122,329
122,389
122,308
122,89
122,407
122,416
123,417
123,268
123,406
123,175
123,389
123,308
123,54
123,418
123,353
123,419
124,12
124,258
124,75
124,406
124,250
124,308
124,322
124,87
124,53
124,418
125,11
125,173
125,22
125,48
125,420
125,112
125,389
125,308
125,309
125,421
126,104
126,422
126,372
126,268
126,250
126,308
126,349
126,253
126,269
126,423
127,278
127,397
127,250
127,389
127,308
127,424
127,322
127,123
127,269
127,425
128,258
128,328
128,250
128,426
128,323
128,349
128,253
128,269
128,423
128,427
129,428
129,258
129,374
129,429
129,104
129,430
129,250
129,252
129,366
129,303
130,431
130,11
130,258
130,397
130,22
130,72
130,48
130,128
130,309
130,432
131,431
131,11
131,397
131,22
131,72
131,48
131,128
131,433
131,434
131,309
132,428
132,258
132,92
132,374
132,435
132,105
132,163
132,252
132,366
132,367
133,12
133,258
133,436
133,216
133,131
133,3
133,250
133,166
133,87
133,314
134,158
134,91
134,201
134,258
134,437
134,61
134,72
134,128
134,166
134,314
135,438
135,159
135,439
135,154
135,278
135,258
135,440
135,441
135,314
135,442
136,258
136,268
136,329
136,308
136,443
136,349
136,378
136,253
136,269
136,262
137,83
137,22
137,444
137,171
137,445
137,281
137,54
137,349
137,303
137,269
138,278
138,345
138,243
138,446
138,251
138,445
138,323
138,303
138,269
138,305
139,447
139,384
139,358
139,201
139,268
139,448
139,113
139,314
139,303
139,449
140,450
140,451
140,452
140,323
140,303
140,453
140,407
140,342
140,454
140,455
141,456
141,299
141,119
141,100
141,215
141,104
141,162
141,198
141,250
141,252
142,341
142,258
142,265
142,128
142,391
142,457
142,252
142,458
142,459
142,323
143,11
143,258
143,152
143,389
143,308
143,53
143,407
143,309
143,460
143,461
144,258
144,22
144,280
144,329
144,250
144,308
144,80
144,323
144,261
144,262
145,159
145,462
145,463
145,258
145,279
145,314
145,459
145,281
145,323
145,262
146,71
146,11
146,201
146,258
146,112
146,308
146,391
146,18
146,102
146,323
147,278
147,258
147,104
147,268
147,250
147,267
147,252
147,262
147,464
147,465
148,258
148,228
148,22
148,3
148,128
148,268
148,250
148,252
148,303
148,255
149,11
149,91
149,258
149,249
149,128
149,329
149,250
149,252
149,336
149,466
150,103
150,467
150,168
150,60
150,155
150,48
150,51
150,9
150,70
150,63
151,468
151,12
151,118
151,469
151,187
151,470
151,220
151,45
151,107
151,471
152,438
152,472
152,473
152,168
152,60
152,101
152,74
152,51
152,9
152,63
153,344
153,185
153,206
153,474
153,103
153,475
153,229
153,104
153,9
153,476
154,33
154,306
154,92
154,16
154,72
154,51
154,53
154,114
154,32
154,93
155,299
155,145
155,187
155,477
155,104
155,66
155,121
155,9
155,478
155,479
156,12
156,41
156,72
156,74
156,75
156,17
156,9
156,32
156,480
156,481
157,169
157,482
157,111
157,72
157,75
157,181
157,53
157,164
157,32
157,93
158,483
158,206
158,474
158,484
158,208
158,209
158,303
158,485
158,486
158,487
159,225
159,187
159,345
159,104
159,488
159,489
159,376
159,490
159,9
159,378
160,491
160,492
160,46
160,14
160,120
160,74
160,51
160,493
160,9
160,480
161,213
161,494
161,46
161,92
161,101
161,74
161,128
161,9
161,70
161,55
162,184
162,71
162,495
162,496
162,497
162,498
162,273
162,499
162,9
162,500
163,56
163,501
163,502
163,92
163,503
163,66
163,504
163,51
163,288
163,9
164,90
164,12
164,168
164,100
164,169
164,101
164,74
